"kode_captcha","pertanyaan","jawaban"
"1","Berapakah 2+7?","9"
"2","Berapakah 3 x 4?","12"
"3","Berapakah 10-7?","3"
"4","Berapakah 11+13?","24"
"5","Berapakah 5+6?","11"
"kode_dosen","id_user","NIP","NIDN","NIDK","nama_lengkap","alamat","nomor_telp","created_at","updated_at"
"1","2","1910012345678901","1111111111","1111111111","Bayley Cooke",NULL,"081256789012","2021-11-24 16:32:59",NULL
"2","3","1910012345678902","1111111113","1111111113","Orson Alvarez",NULL,"081256789014","2021-11-24 16:32:59",NULL
"3","4","1910012345678903","1111111115","1111111115","Neriah Merrill",NULL,"081256789016","2021-11-24 16:32:59",NULL
"4","5","1910012345678904","1111111117","1111111117","Ebony Wooten",NULL,"081256789018","2021-11-24 16:33:00",NULL
"5","6","1910012345678905","1111111119","1111111119","Michalina Fraser",NULL,"081256789020","2021-11-24 16:33:00",NULL
"6","7","1910012345678906","1111111121","1111111121","Aila Parrish",NULL,"081256789022","2021-11-24 16:33:00",NULL
"7","8","1910012345678907","1111111123","1111111123","Elana Charles",NULL,"081256789024","2021-11-24 16:33:00",NULL
"8","9","1910012345678908","1111111125","1111111125","Alannah Herbert",NULL,"081256789026","2021-11-24 16:33:01",NULL
"9","10","1910012345678909","1111111127","1111111127","Fardeen Pate",NULL,"081256789028","2021-11-24 16:33:01",NULL
"10","11","1910012345678910","1111111129","1111111129","Loretta Porter",NULL,"081256789030","2021-11-24 16:33:01",NULL
"11","12","1910012345678911","1111111131","1111111131","Reyansh Barclay",NULL,"081256789032","2021-11-24 16:33:01",NULL
"12","13","1910012345678912","1111111133","1111111133","Jack Serrano",NULL,"081256789034","2021-11-24 16:33:02",NULL
"13","14","1910012345678913","1111111135","1111111135","Naomi Lara",NULL,"081256789036","2021-11-24 16:33:02",NULL
"14","15","1910012345678914","1111111137","1111111137","Beatriz Portillo",NULL,"081256789038","2021-11-24 16:33:02",NULL
"kode_seksi","kode_matkul","semester","hari","jam","deskripsi"
"1912600000","50050001","3","senin","08:00 - 09:00","Ruang 304"
"1912600001","50050001","3","senin","09:00 - 10:00",NULL
"1912600002","50050002","2","selasa","08:00 - 09:00",NULL
"1912600003","50050002","2","selasa","09:00 - 10:00",NULL
"1912600004","50050003","2","selasa","10:00 - 11:00",NULL
"1912600005","50050003","2","selasa","13:00 - 14:00",NULL
"1912600006","50050004","5","rabu","08:00 - 09:45",NULL
"1912600007","50050004","5","rabu","09:45 - 11:45",NULL
"1912600008","50050005","5","rabu","08:00 - 09:00",NULL
"1912600009","50050005","5","kamis","09:00 - 10:00","Ruang 301"
"1912600010","50050006","2","kamis","08:00 - 09:00",NULL
"1912600011","50050006","2","kamis","09:00 - 10:00",NULL
"1912600012","50050007","6","selasa","08:00 - 09:00",NULL
"1912600013","50050007","6","selasa","09:00 - 10:00",NULL
"1912600014","50050008","5","senin","10:00 - 11:00",NULL
"1912600015","50050008","5","senin","13:00 - 14:00",NULL
"1912600016","50050009","2","jumat","08:00 - 09:45",NULL
"1912600017","50050009","2","jumat","09:45 - 11:45",NULL
"1912600018","50050010","3","jumat","08:00 - 09:00",NULL
"1912600019","50050010","3","jumat","09:00 - 10:00",NULL
"1912600020","50050011","3","selasa","08:00 - 09:00",NULL
"1912600021","50050011","3","rabu","09:00 - 10:00",NULL
"1912600022","50050012","4","kamis","08:00 - 09:00",NULL
"1912600023","50050012","4","kamis","09:00 - 10:00",NULL
"1912600024","50050013","8","kamis","10:00 - 11:00",NULL
"1912600025","50050014","8","kamis","13:00 - 14:00",NULL
"1912600026","50050015","8","kamis","08:00 - 09:45","Ruang 208"
"1912600027","50050000","3","jumat","09:00 - 11:00","telat input"
"kode_reset_pw","username","email","status"
"1","User 6","wkrebs@att.net","belum"
"kode_mhs","id_user","NIM","nama_lengkap","alamat","nomor_telp","created_at","updated_at"
"42","57","1912627041","Balraj Newton",NULL,"081234567082","2021-11-24 16:33:48",NULL
"43","58","1912627042","Ryker Cousins",NULL,"081234567084","2021-11-24 16:33:49",NULL
"44","59","1912627043","Kathryn Mcmanus",NULL,"081234567086","2021-11-24 16:33:49",NULL
"45","60","1912627044","Homer Andrews",NULL,"081234567088","2021-11-24 16:33:49",NULL
"46","61","1912627045","Alexandra Harding",NULL,"081234567090","2021-11-24 16:33:49",NULL
"47","62","1912627046","Calum Carver",NULL,"081234567092","2021-11-24 16:33:49",NULL
"48","63","1912627047","Kelsie Valencia",NULL,"081234567094","2021-11-24 16:33:50",NULL
"49","64","1912627048","Brody Hayden",NULL,"081234567096","2021-11-24 16:33:50",NULL
"50","65","1912627049","Tilly Humphrey",NULL,"081234567098","2021-11-24 16:33:50",NULL
"51","66","1912627050","Jaxson Tapia",NULL,"081234567100","2021-11-24 16:33:51",NULL
"52","67","1912627051","Khadeeja Croft",NULL,"081234567102","2021-11-24 16:33:51",NULL
"53","68","1912627052","Shayan Donovan",NULL,"081234567104","2021-11-24 16:33:51",NULL
"54","69","1912627053","Inez Cohen",NULL,"081234567106","2021-11-24 16:33:51",NULL
"55","70","1912627054","Pearce Appleton",NULL,"081234567108","2021-11-24 16:33:51",NULL
"56","71","1912627055","Tahmina Mccoy",NULL,"081234567110","2021-11-24 16:33:52",NULL
"57","72","1912627056","Ronald Jennings",NULL,"081234567112","2021-11-24 16:33:52",NULL
"58","73","1912627057","Cohen Mathis",NULL,"081234567114","2021-11-24 16:33:52",NULL
"59","74","1912627058","Maeve Reid",NULL,"081234567116","2021-11-24 16:33:52",NULL
"60","75","1912627059","Tiya Salt",NULL,"081234567118","2021-11-24 16:33:53",NULL
"61","76","1912627060","Ivie Barron",NULL,"081234567120","2021-11-24 16:33:53",NULL
"62","77","1912627061","Fox Bright",NULL,"081234567122","2021-11-24 16:33:53",NULL
"63","78","1912627062","Elizabeth Ashley",NULL,"081234567124","2021-11-24 16:33:53",NULL
"64","79","1912627063","Wayne Clegg",NULL,"081234567126","2021-11-24 16:33:53",NULL
"65","80","1912627064","India Huynh",NULL,"081234567128","2021-11-24 16:33:54",NULL
"66","81","1912627065","Emilio Greaves",NULL,"081234567130","2021-11-24 16:33:54",NULL
"67","82","1912627066","Acacia Cartwright",NULL,"081234567132","2021-11-24 16:33:54",NULL
"68","83","1912627067","Cruz Nava",NULL,"081234567134","2021-11-24 16:33:54",NULL
"69","84","1912627068","Abubakar Matthews",NULL,"081234567136","2021-11-24 16:33:55",NULL
"70","85","1912627069","Janice Cordova",NULL,"081234567138","2021-11-24 16:33:55",NULL
"71","86","1912627070","Ephraim Foley",NULL,"081234567140","2021-11-24 16:33:55",NULL
"72","87","1912627071","Ziggy Curry",NULL,"081234567142","2021-11-24 16:33:55",NULL
"73","88","1912627072","Victoria Cantu",NULL,"081234567144","2021-11-24 16:33:56",NULL
"74","89","1912627073","Hilda Odling",NULL,"081234567146","2021-11-24 16:33:56",NULL
"75","90","1912627074","Scarlette Dillon",NULL,"081234567148","2021-11-24 16:33:56",NULL
"76","91","1912627075","Darrel Peralta",NULL,"081234567150","2021-11-24 16:33:56",NULL
"77","92","1912627076","Amy Atkins",NULL,"081234567152","2021-11-24 16:33:57",NULL
"78","93","1912627077","Farhana Easton",NULL,"081234567154","2021-11-24 16:33:57",NULL
"79","94","1912627078","Ayesha Stewart",NULL,"081234567156","2021-11-24 16:33:57",NULL
"80","95","1912627079","Jillian Barnett",NULL,"081234567158","2021-11-24 16:33:58",NULL
"81","96","1912627080","Duane Whittaker",NULL,"081234567160","2021-11-24 16:33:58",NULL
"82","97","1912627081","Cherise Mcintosh",NULL,"081234567162","2021-11-24 16:33:58",NULL
"83","98","1912627082","Joao Young",NULL,"081234567164","2021-11-24 16:33:59",NULL
"84","99","1912627083","Laaibah Neville",NULL,"081234567166","2021-11-24 16:33:59",NULL
"85","100","1912627084","Azra Schmidt",NULL,"081234567168","2021-11-24 16:33:59",NULL
"86","101","1912627085","Kacper Mejia",NULL,"081234567170","2021-11-24 16:33:59",NULL
"87","102","1912627086","Miranda Noel",NULL,"081234567172","2021-11-24 16:33:59",NULL
"88","103","1912627087","Jorja Owen",NULL,"081234567174","2021-11-24 16:34:00",NULL
"89","104","1912627088","Carson Walls",NULL,"081234567176","2021-11-24 16:34:00",NULL
"90","105","1912627089","Keiren Mcleod",NULL,"081234567178","2021-11-24 16:34:00",NULL
"91","106","1912627090","Jeff Mills",NULL,"081234567180","2021-11-24 16:34:00",NULL
"92","107","1912627091","Merlin Leblanc",NULL,"081234567182","2021-11-24 16:34:01",NULL
"93","108","1912627092","Abi Blake",NULL,"081234567184","2021-11-24 16:34:01",NULL
"94","109","1912627093","Shanna Farrington",NULL,"081234567186","2021-11-24 16:34:01",NULL
"95","110","1912627094","Rui Orr",NULL,"081234567188","2021-11-24 16:34:01",NULL
"96","111","1912627095","Chase Woods",NULL,"081234567190","2021-11-24 16:34:02",NULL
"97","112","1912627096","Zacharias Talbot",NULL,"081234567192","2021-11-24 16:34:02",NULL
"98","113","1912627097","Nikolas Forster",NULL,"081234567194","2021-11-24 16:34:02",NULL
"99","114","1912627098","Madelaine Lowe",NULL,"081234567196","2021-11-24 16:34:03",NULL
"kode_matkul","kode_kel_mk","kode_peminatan","nama_matkul","sks","deskripsi"
"50050000","1","4","Pendidikan Agama Islam","2","test"
"50050001","1","4","Pendidikan Agama Kristen","2","test"
"50050002","4","4","Pancasila","2",NULL
"50050003","4","4","Bahasa Indonesia","2",NULL
"50050004","3","4","Landasan Ilmu Pendidikan","4",NULL
"50050005","3","4","Psikologi Perkembangan","2",NULL
"50050006","3","4","Teori Belajar dan Pembelajaran","4",NULL
"50050007","1","2","Basis Data","3",NULL
"50050008","1","2","Rekayasa Perangkat Lunak","3",NULL
"50050009","1","1","Desain Web","3",NULL
"50050010","1","1","Animasi Komputer","3",NULL
"50050011","1","3","Perancangan Jaringan Komputer","3",NULL
"50050012","1","3","Pemrograman Jaringan","3",NULL
"50050013","2","4","Kriptografi","3",NULL
"50050014","2","4","Data Mining","2",NULL
"50050015","2","4","e-Commerce","3",NULL
"kode_paket","kode_ujian","aktif"
"48VVL","1","1"
"6CIW9","1","1"
"A3FJ5","1","1"
"AS2Q9","1","1"
"GIY1F","1","1"
"IOHG8","1","1"
"kode_pengumuman","pengumuman","status"
"kode_jenis_ujian","jenis_ujian"
"1","Penilaian Harian"
"2","Penilaian Tengah Semester"
"3","Penilaian Akhir Semester"
"4",NULL
"kode_kel_mk","kelompok_matakuliah"
"3","MKDK"
"4","MKU"
"2","Peminatan"
"1","Wajib"
"kode_peminatan","peminatan"
"4",NULL
"1","Multimedia"
"2","Rekayasa Perangkat Lunak"
"3","Teknik Komputer Jaringan"
"kode_role","role"
"1","Admin"
"2","Dosen"
"3","Mahasiswa"
"kode_semester","semester"
"8",NULL
"1","117"
"2","118"
"3","119"
"4","120"
"5","121"
"6","122"
"7","123"
"9","124"
"id","kode_dosen","kode_seksi"
"17","1","1912600000"
"18","2","1912600001"
"19","4","1912600001"
"20","4","1912600002"
"22","7","1912600003"
"24","8","1912600005"
"21","11","1912600003"
"23","12","1912600004"
"id","kode_mhs","kode_seksi"
"5","1","1912600003"
"4","1","1912600012"
"6","2","1912600003"
"id","kode_paket","kode_soal","no_urut_soal","bobot_soal"
"1","6CIW9","1","1","10"
"2","6CIW9","2","2","10"
"3","6CIW9","3","3","15"
"4","6CIW9","4","4","20"
"5","6CIW9","5","5","25"
"6","6CIW9","7","6","5"
"7","6CIW9","8","7","10"
"8","6CIW9","6","8","5"
"kode_soal","kode_matkul","kode_dosen","soal","gambar_soal","audio_soal","video_soal","status","created_at","updated_at"
"1","50050002","7","sebutkan dan jelaskan sila-sila pancasila!","[""1.1.image1.jpeg"",""1.2.image2.jpeg""]",NULL,NULL,"terbit","2022-02-09 22:40:42",NULL
"2","50050002","7","bagaimana pendapat kamu tentang NFT?","[]",NULL,NULL,"terbit","2022-02-09 22:40:42",NULL
"3","50050002","7","kamu siapa?","[]",NULL,NULL,"terbit","2022-02-09 22:40:42",NULL
"4","50050002","7","aku siapa?","[]",NULL,NULL,"terbit","2022-02-09 22:40:42",NULL
"5","50050002","7","testing 123456","[]",NULL,NULL,"terbit","2022-02-09 22:40:42",NULL
"6","50050002","7","testing 123457","[]",NULL,NULL,"terbit","2022-02-09 22:40:42",NULL
"7","50050002","7","testing 123458","[]",NULL,NULL,"terbit","2022-02-09 22:40:42",NULL
"8","50050002","7","testing 123459","[]",NULL,NULL,"terbit","2022-02-09 22:40:42",NULL
"9","50050002","7","testing 123460","[]",NULL,NULL,"terbit","2022-02-09 22:40:42",NULL
"10","50050002","7","testing 123461","[]",NULL,NULL,"terbit","2022-02-09 22:40:42",NULL
"11","50050002","7","testing 123","[]","2_ase.mid",NULL,"terbit","2022-02-11 22:51:01",NULL
"id_user","refresh_token"
"id","username","email","password","status_civitas","kode_role","foto_profil","keterangan","created_at","updated_at"
"1","zellev","zellev.admin.ujianunj@gmail.com","$2a$10$C.cT3CPu2aG77NhBIMaeoe5z8DbmetznW87Oal594IJsKZgHV5jRG","aktif","1","1_24-11-2021_17.34-appujian-94c9ae23-abf4-4026-8319-1d9bac26b45b.jpg","Saya Admin YNTKTS","2021-11-24 10:17:52","2021-11-24 17:34:48"
"2","User 2","richard@gmail.com","$2b$10$3flpKazebWthi5Hqn35tHeXDg0A07g3VCJOSQT5otzeBbd4XCzLp6","aktif","2",NULL,NULL,"2021-11-24 16:32:59",NULL
"3","User 3","clarareiddiff99@gmail.com","$2b$10$/TFmW.vPyuvvEX7BqpjSB.gkYyYegtK/eyyZaWDCJwqsMs/gmZvkW","aktif","2",NULL,NULL,"2021-11-24 16:32:59",NULL
"4","User 4","burniske@aol.com","$2b$10$7O64FFW7WELlwJtQNjCbGe.ObWr.ZFCUlf.S2qdDDO7sdE7X.ThLm","aktif","2",NULL,NULL,"2021-11-24 16:32:59",NULL
"5","User 5","garland@yahoo.ca","$2b$10$8oIIixAae7wr9QdtkcrfT.5zHNw6qK//2KvCSBBhzkeOMxuQnaTEG","aktif","2",NULL,NULL,"2021-11-24 16:33:00",NULL
"6","User 6","wkrebs@att.net","$2b$10$ai8Jsbrr9m3iSejEMHdF2.YT7hcgYOQyjOSTf1WFhK0FDKRugLjuy","aktif","2",NULL,NULL,"2021-11-24 16:33:00",NULL
"7","User 7","tromey@att.net","$2b$10$wiVq4sxTZd5FdQ0cyqbMruQvfDpEvdDcrnYOyjmz3.enuWZ8hQ11i","aktif","2",NULL,NULL,"2021-11-24 16:33:00",NULL
"8","User 8","citadel@aol.com","$2b$10$Cpdh02Dgnh81sTUZf2P1ve5WMCXuiaC5QJQNjKCMQhMakOzZs5.G6","aktif","2",NULL,NULL,"2021-11-24 16:33:00",NULL
"9","User 9","policies@verizon.net","$2b$10$TLpZ7jIpMTp8JEYarP/vwO8dudeLs8H7re/OTfRksTlBrc3PAmDRu","aktif","2",NULL,NULL,"2021-11-24 16:33:00",NULL
"10","User 10","lehice1258@alfaceti.com","$2b$10$JY1ZPo4VOosmmBbPd2Vfp.Ff1e0WHAegjB7YwThXE.WmoNM615HwS","aktif","2",NULL,NULL,"2021-11-24 16:33:01",NULL
"11","User 11","mschwartz@sbcglobal.net","$2b$10$QvUMvptQHQCL43Eh.f7TBOi7B5jNKrxKwwVZJ5iKBE0TqOKBYuj2q","aktif","2",NULL,NULL,"2021-11-24 16:33:01",NULL
"12","User 12","luebke@optonline.net","$2b$10$VJrS1/lM3W6pPPlzXlo.7eWRvebhcSKlk3Ro7/F/KFjcQtbOvqSlm","aktif","2",NULL,NULL,"2021-11-24 16:33:01",NULL
"13","User 13","zavadsky@me.com","$2b$10$PJJ6w6FsFUwmvZUzmNXxQOxMe3hq6itbf7niJPxACdXKCmffWHFqG","aktif","2",NULL,NULL,"2021-11-24 16:33:02",NULL
"14","User 14","pappp@optonline.net","$2b$10$.mUXTIWZqZMAyZyXp.Nvz.IbqUyNRPYMGGjOR4tl3czbq7JwO0dom","aktif","2",NULL,NULL,"2021-11-24 16:33:02",NULL
"15","User 15","drjlaw@yahoo.com","$2b$10$AHCA/vqGZhUDPeCGk783quGWTiYYZ7EixCOhSR42O8d8Be5/9VPRC","aktif","2",NULL,NULL,"2021-11-24 16:33:02",NULL
"16","Yaya69","yaya@gmail.com","$2b$10$k.5AWblEdKZ1LX.xCZs.nOQKQ0Pp28s6U5wI0ToJgHE2wnzNCBGB6","aktif","3",NULL,"yaya cakep","2021-11-24 16:33:40","2022-02-04 15:36:23"
"17","User 17","chaikin@msn.com","$2b$10$ZPKkhHyDx0zlcsKGWHA6hOwiMKXI.NFjBuw1VR.eAegtmuY7kqkE2","aktif","3",NULL,NULL,"2021-11-24 16:33:40",NULL
"18","User 18","natepuri@comcast.net","$2b$10$8smlaXH/HOufVZlzbfC.Z.p4yI1Emkss9E9tKnZ4TyNc6Ays.N6NG","aktif","3",NULL,NULL,"2021-11-24 16:33:40",NULL
"19","User 19","cantu@msn.com","$2b$10$n8WsCyMBdGTNX0cyqrtXHOF/wcMcon/fRNQoSSIJySIpR6Q6sW7y2","aktif","3",NULL,NULL,"2021-11-24 16:33:40",NULL
"20","User 20","jfreedma@verizon.net","$2b$10$h9vG5aCdIsqGCOqQEn1fceHDBmCA/pjbXn1GlK3Gfjy1nfDa8XOi6","aktif","3",NULL,NULL,"2021-11-24 16:33:41",NULL
"21","User 21","wetter@verizon.net","$2b$10$9OCVxLjZ21hePKAfFfM2kOAhtPjs4eYj80bQ8DfQXhMmAnVZw3Eu.","aktif","3",NULL,NULL,"2021-11-24 16:33:41",NULL
"22","User 22","wsnyder@aol.com","$2b$10$dqpAzYP4aQ2se.jtqJh73.xhduhk.T7UVKHy7uAQObkX/pVqoLgry","aktif","3",NULL,NULL,"2021-11-24 16:33:41",NULL
"23","User 23","durist@yahoo.com","$2b$10$F7fr1N9AMj58S6uFml9sn./Q/TMorImTG6GNcnnsrA4lnbI7QKWxq","aktif","3",NULL,NULL,"2021-11-24 16:33:41",NULL
"24","User 24","gozer@yahoo.com","$2b$10$heBmpAWOCRLBuGq1eZrdSe7TXSnIqd/zs8vjKiK6GzmDxwddpe76q","aktif","3",NULL,NULL,"2021-11-24 16:33:42",NULL
"25","User 25","miami@verizon.net","$2b$10$cRfjqgVvW1bGDZX3s2KYouE8KZLVz1L4DQuvUXz0Lkt0bpx9bpQA.","aktif","3",NULL,NULL,"2021-11-24 16:33:42",NULL
"26","User 26","grinder@yahoo.ca","$2b$10$IupNWxkhKyVPWoUGSSRbcedbisWTO8OdEIBSHZLAM3WaLZitiZXwq","aktif","3",NULL,NULL,"2021-11-24 16:33:42",NULL
"27","User 27","denism@icloud.com","$2b$10$pAtjLhzCP02hzZFHdyXxgu26MCgHxdiyONWs0iUlM7i8283ehHRq.","aktif","3",NULL,NULL,"2021-11-24 16:33:42",NULL
"28","User 28","kaiser@outlook.com","$2b$10$s3201r7aE2w5AwefqK3v3.QFgNIdwHArEBRcqbO0pJuAB7lP/mgU6","aktif","3",NULL,NULL,"2021-11-24 16:33:42",NULL
"29","User 29","claypool@sbcglobal.net","$2b$10$LvSzO8i7mhlT29HxByq3lOMwrjGCtNvFEXWDfk.OnZaharj55xaWi","aktif","3",NULL,NULL,"2021-11-24 16:33:43",NULL
"30","User 30","zyghom@icloud.com","$2b$10$G5UOldjbHXvezNk5Rpg24eGz3guuToqYWEMnkW.eGG5Cfb.0V.mfG","aktif","3",NULL,NULL,"2021-11-24 16:33:43",NULL
"31","User 31","lbaxter@live.com","$2b$10$LY/YIQQNhNSZ/vlG06RWSOC1iAWDcQHTm7jcs//zOuxOuXDfe2iCG","aktif","3",NULL,NULL,"2021-11-24 16:33:43",NULL
"32","User 32","jaffe@me.com","$2b$10$c9kJRzLsjxsCq4ZyiMvnA.OKJwgVfxLviezwySd4a6Nc5YMH13ZH.","aktif","3",NULL,NULL,"2021-11-24 16:33:43",NULL
"33","User 33","isaacson@live.com","$2b$10$yZMed18BxH21d7Bok7ZFjevStuSIXMuwmbB3sK7Lx60SpuVDle2/S","aktif","3",NULL,NULL,"2021-11-24 16:33:43",NULL
